%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1557407573016888041,557,1557407573016888041,gps,0,3,57.7079896,11.9405257,139.524,26.440164,0.0,0.0,0.0,26.440164,0.0,0.0,0.0,38.081241,2
1557407574016801417,558,1557407574016801417,gps,0,3,57.7079907,11.9405202,140.08,26.163225,0.0,0.0,0.0,26.163225,0.0,0.0,0.0,38.044224,2
1557407575017300824,559,1557407575017300824,gps,0,3,57.7079921,11.9405138,140.676,25.877569,0.0,0.0,0.0,25.877569,0.0,0.0,0.0,37.982569,2
1557407576016626929,560,1557407576016626929,gps,0,3,57.7079929,11.9405047,141.051,25.573249,0.0,0.0,0.0,25.573249,0.0,0.0,0.0,37.884025,2
1557407577015916394,561,1557407577015916394,gps,0,3,57.7079939,11.9404983,141.583,25.280784,0.0,0.0,0.0,25.280784,0.0,0.0,0.0,37.736449,2
1557407578017286818,562,1557407578017286818,gps,0,3,57.7079944,11.9404886,141.888,24.960016,0.0,0.0,0.0,24.960016,0.0,0.0,0.0,37.552384,2
1557407579017001242,563,1557407579017001242,gps,0,3,57.7079957,11.9404799,142.439,24.581764,0.0,0.0,0.0,24.581764,0.0,0.0,0.0,37.344321,2
1557407580017017677,564,1557407580017017677,gps,0,3,57.7079976,11.9404714,143.063,24.196561,0.0,0.0,0.0,24.196561,0.0,0.0,0.0,37.112464,2
1557407581020373431,565,1557407581020373431,gps,0,3,57.7079994,11.9404639,143.634,23.824161,0.0,0.0,0.0,23.824161,0.0,0.0,0.0,36.905625,2
1557407582016569409,566,1557407582016569409,gps,0,3,57.7080009,11.9404572,144.155,23.483716,0.0,0.0,0.0,23.483716,0.0,0.0,0.0,36.687249,2
1557407583016971090,567,1557407583016971090,gps,0,3,57.7080022,11.9404509,144.571,23.1361,0.0,0.0,0.0,23.1361,0.0,0.0,0.0,36.469521,2
1557407584016643616,568,1557407584016643616,gps,0,3,57.7080019,11.9404444,144.766,22.867524,0.0,0.0,0.0,22.867524,0.0,0.0,0.0,36.312676,2
1557407585016880498,569,1557407585016880498,gps,0,3,57.7080015,11.9404387,144.95,22.591009,0.0,0.0,0.0,22.591009,0.0,0.0,0.0,36.132121,2
1557407586017772691,570,1557407586017772691,gps,0,3,57.7080006,11.9404307,144.807,22.335076,0.0,0.0,0.0,22.335076,0.0,0.0,0.0,35.952016,2
1557407587017222816,571,1557407587017222816,gps,0,3,57.7079994,11.9404215,144.603,22.099401,0.0,0.0,0.0,22.099401,0.0,0.0,0.0,35.796289,2
